nct_id,arm_label,oligo_name,arm_role,is_comparator,n_at_risk,tierA_affected,tierB_affected,tierA_event,tierB_event,tierA_terms,max_grade,delivery_route,route_is_cns,indication,oligo_class,backbone_chemistry,modification_pattern,has_sequence,trial_status,n_measurement_rows
NCT00605280,Sham Conversion (Year 3),placebo_or_sham_control,comparator,1,54,0,0,0,0,none,0,intravitreal,0,Macular Edema Associated With Diabetes Mellitus,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT00607373,Mipomersen,mipomersen,exposed,0,34,0,0,0,0,none,0,subcutaneous,0,"Lipid Metabolism, Inborn Errors; Hypercholesterolemia, Autosomal Dominant; Hyper",ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00607373,Placebo,placebo_or_sham_control,comparator,1,17,0,0,0,0,none,0,subcutaneous,0,"Lipid Metabolism, Inborn Errors; Hypercholesterolemia, Autosomal Dominant; Hyper",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT00628498,Defibrotide,defibrotide,exposed,0,1154,3,0,1,0,hydrocephalus_AE,3,intravenous,0,Hepatic Veno-Occlusive Disease,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00694109,Mipomersen,mipomersen,exposed,0,141,0,0,0,0,none,0,subcutaneous,0,"Lipid Metabolism, Inborn Errors; Hypercholesterolemia, Autosomal Dominant; Hyper",ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00706849,Mipomersen,mipomersen,exposed,0,83,0,0,0,0,none,0,subcutaneous,0,Heterozygous Familial Hypercholesterolemia; Coronary Artery Disease,ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00706849,Placebo,placebo_or_sham_control,comparator,1,41,0,0,0,0,none,0,subcutaneous,0,Heterozygous Familial Hypercholesterolemia; Coronary Artery Disease,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT00707746,Mipomersen,mipomersen,exposed,0,21,0,0,0,0,none,0,subcutaneous,0,Metabolic Diseases; Hyperlipidemias; Metabolic Disorder; Hypercholesterolemia; D,ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00707746,Placebo,placebo_or_sham_control,comparator,1,12,0,0,0,0,none,0,subcutaneous,0,Metabolic Diseases; Hyperlipidemias; Metabolic Disorder; Hypercholesterolemia; D,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT00735943,Pegaptanib,pegaptanib,exposed,0,22,0,0,0,0,none,0,NOT_REPORTED,0,Vascular Endothelial Growth Factor; Macular Degeneration,aptamer,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
NCT00761280,Chemotherapy,trabedersen,exposed,0,11,1,0,1,0,hydrocephalus_AE,2,subcutaneous,0,Anaplastic Astrocytoma; Glioblastoma,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,5
NCT00761280,Trabedersen 10 µM,trabedersen,exposed,0,13,0,2,0,1,none,2,subcutaneous,0,Anaplastic Astrocytoma; Glioblastoma,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,5
NCT00770146,Mipomersen,mipomersen,exposed,0,105,0,0,0,0,none,0,subcutaneous,0,Hypercholesterolemia; Coronary Heart Disease,ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
